"County","Week Ending","Claim Type","Claims","Previous Week","+/- Change from Previous Week","% Change from Previous Week","4 Week Average"
"Carson City","2017-09-30","continued","225","204","21","10.29%","210"
"Churchill","2017-09-30","continued","74","71","3","4.23%","74"
"Clark","2017-09-30","continued","15,096","15,324","-228","-1.49%","15,520"
"Douglas","2017-09-30","continued","120","130","-10","-7.69%","124"
"Elko","2017-09-30","continued","120","131","-11","-8.40%","149"
"Esmeralda","2017-09-30","continued","7","7","0","0.00%","7"
"Eureka","2017-09-30","continued","1","3","-2","-66.67%","2"
"Humboldt","2017-09-30","continued","58","58","0","0.00%","57"
"Lander","2017-09-30","continued","17","18","-1","-5.56%","15"
"Lincoln","2017-09-30","continued","11","12","-1","-8.33%","13"
"Lyon","2017-09-30","continued","269","264","5","1.89%","268"
"Mineral","2017-09-30","continued","15","16","-1","-6.25%","14"
"Nye","2017-09-30","continued","216","228","-12","-5.26%","224"
"Pershing","2017-09-30","continued","18","21","-3","-14.29%","19"
"Storey","2017-09-30","continued","3","3","0","0.00%","4"
"Washoe","2017-09-30","continued","1,818","1,815","3","0.17%","1,803"
"White Pine","2017-09-30","continued","42","34","8","23.53%","35"
"Unknown","2017-09-30","continued","334","341","-7","-2.05%","344"
"Carson City","2017-09-23","initial","40","34","6","17.65%","32"
"Churchill","2017-09-23","initial","7","9","-2","-22.22%","9"
"Clark","2017-09-23","initial","1,879","1,862","17","0.91%","2,048"
"Douglas","2017-09-23","initial","19","16","3","18.75%","20"
"Elko","2017-09-23","initial","21","12","9","75.00%","22"
"Esmeralda","2017-09-23","initial","0","1","-1","-100.00%","0"
"Eureka","2017-09-23","initial","1","1","0","0.00%","1"
"Humboldt","2017-09-23","initial","5","5","0","0.00%","5"
"Lander","2017-09-23","initial","5","1","4","400.00%","4"
"Lincoln","2017-09-23","initial","4","1","3","300.00%","3"
"Lyon","2017-09-23","initial","33","38","-5","-13.16%","36"
"Mineral","2017-09-23","initial","4","4","0","0.00%","4"
"Nye","2017-09-23","initial","22","18","4","22.22%","25"
"Pershing","2017-09-23","initial","1","1","0","0.00%","2"
"Storey","2017-09-23","initial","1","0","1","Inf","0"
"Washoe","2017-09-23","initial","300","268","32","11.94%","269"
"White Pine","2017-09-23","initial","9","6","3","50.00%","5"
"Unknown","2017-09-23","initial","87","84","3","3.57%","94"
"Carson City","2017-09-23","continued","204","198","6","3.03%","206"
"Churchill","2017-09-23","continued","71","77","-6","-7.79%","76"
"Clark","2017-09-23","continued","15,324","15,990","-666","-4.17%","15,692"
"Douglas","2017-09-23","continued","130","126","4","3.17%","126"
"Elko","2017-09-23","continued","131","167","-36","-21.56%","166"
"Esmeralda","2017-09-23","continued","7","7","0","0.00%","7"
"Eureka","2017-09-23","continued","3","2","1","50.00%","2"
"Humboldt","2017-09-23","continued","58","56","2","3.57%","58"
"Lander","2017-09-23","continued","18","12","6","50.00%","15"
"Lincoln","2017-09-23","continued","12","14","-2","-14.29%","14"
"Lyon","2017-09-23","continued","264","281","-17","-6.05%","268"
"Mineral","2017-09-23","continued","16","12","4","33.33%","17"
"Nye","2017-09-23","continued","228","234","-6","-2.56%","226"
"Pershing","2017-09-23","continued","21","18","3","16.67%","18"
"Storey","2017-09-23","continued","3","5","-2","-40.00%","4"
"Washoe","2017-09-23","continued","1,815","1,816","-1","-0.06%","1,821"
"White Pine","2017-09-23","continued","34","30","4","13.33%","34"
"Unknown","2017-09-23","continued","341","355","-14","-3.94%","348"
"Carson City","2017-09-16","initial","34","32","2","6.25%","32"
"Churchill","2017-09-16","initial","9","10","-1","-10.00%","11"
"Clark","2017-09-16","initial","1,862","2,190","-328","-14.98%","2,147"
"Douglas","2017-09-16","initial","16","24","-8","-33.33%","18"
"Elko","2017-09-16","initial","12","20","-8","-40.00%","26"
"Esmeralda","2017-09-16","initial","1","1","0","0.00%","0"
"Eureka","2017-09-16","initial","1","2","-1","-50.00%","1"
"Humboldt","2017-09-16","initial","5","8","-3","-37.50%","5"
"Lander","2017-09-16","initial","1","2","-1","-50.00%","2"
"Lincoln","2017-09-16","initial","1","4","-3","-75.00%","2"
"Lyon","2017-09-16","initial","38","28","10","35.71%","38"
"Mineral","2017-09-16","initial","4","3","1","33.33%","3"
"Nye","2017-09-16","initial","18","33","-15","-45.45%","27"
"Pershing","2017-09-16","initial","1","1","0","0.00%","2"
"Storey","2017-09-16","initial","0","0","0","","0"
"Washoe","2017-09-16","initial","268","242","26","10.74%","262"
"White Pine","2017-09-16","initial","6","5","1","20.00%","4"
"Unknown","2017-09-16","initial","84","98","-14","-14.29%","104"
"Carson City","2017-09-16","continued","198","213","-15","-7.04%","208"
"Churchill","2017-09-16","continued","77","73","4","5.48%","80"
"Clark","2017-09-16","continued","15,990","15,672","318","2.03%","15,801"
"Douglas","2017-09-16","continued","126","122","4","3.28%","127"
"Elko","2017-09-16","continued","167","178","-11","-6.18%","173"
"Esmeralda","2017-09-16","continued","7","8","-1","-12.50%","8"
"Eureka","2017-09-16","continued","2","2","0","0.00%","3"
"Humboldt","2017-09-16","continued","56","57","-1","-1.75%","60"
"Lander","2017-09-16","continued","12","14","-2","-14.29%","14"
"Lincoln","2017-09-16","continued","14","16","-2","-12.50%","16"
"Lyon","2017-09-16","continued","281","258","23","8.91%","267"
"Mineral","2017-09-16","continued","12","14","-2","-14.29%","18"
"Nye","2017-09-16","continued","234","217","17","7.83%","226"
"Pershing","2017-09-16","continued","18","18","0","0.00%","18"
"Storey","2017-09-16","continued","5","5","0","0.00%","5"
"Washoe","2017-09-16","continued","1,816","1,764","52","2.95%","1,843"
"White Pine","2017-09-16","continued","30","34","-4","-11.76%","35"
"Unknown","2017-09-16","continued","355","348","7","2.01%","346"
"Carson City","2017-09-09","initial","32","21","11","52.38%","32"
"Churchill","2017-09-09","initial","10","10","0","0.00%","12"
"Clark","2017-09-09","initial","2,190","2,262","-72","-3.18%","2,204"
"Douglas","2017-09-09","initial","24","23","1","4.35%","17"
"Elko","2017-09-09","initial","20","37","-17","-45.95%","40"
"Esmeralda","2017-09-09","initial","1","0","1","Inf","1"
"Eureka","2017-09-09","initial","2","1","1","100.00%","2"
"Humboldt","2017-09-09","initial","8","2","6","300.00%","6"
"Lander","2017-09-09","initial","2","6","-4","-66.67%","2"
"Lincoln","2017-09-09","initial","4","2","2","100.00%","2"
"Lyon","2017-09-09","initial","28","46","-18","-39.13%","38"
"Mineral","2017-09-09","initial","3","3","0","0.00%","3"
"Nye","2017-09-09","initial","33","27","6","22.22%","29"
"Pershing","2017-09-09","initial","1","3","-2","-66.67%","2"
"Storey","2017-09-09","initial","0","1","-1","-100.00%","0"
"Washoe","2017-09-09","initial","242","265","-23","-8.68%","263"
"White Pine","2017-09-09","initial","5","1","4","400.00%","4"
"Unknown","2017-09-09","initial","98","107","-9","-8.41%","110"
"Carson City","2017-09-09","continued","213","211","2","0.95%","213"
"Churchill","2017-09-09","continued","73","84","-11","-13.10%","81"
"Clark","2017-09-09","continued","15,672","15,780","-108","-0.68%","15,821"
"Douglas","2017-09-09","continued","122","126","-4","-3.17%","130"
"Elko","2017-09-09","continued","178","186","-8","-4.30%","169"
"Esmeralda","2017-09-09","continued","8","7","1","14.29%","7"
"Eureka","2017-09-09","continued","2","3","-1","-33.33%","3"
"Humboldt","2017-09-09","continued","57","61","-4","-6.56%","64"
"Lander","2017-09-09","continued","14","16","-2","-12.50%","16"
"Lincoln","2017-09-09","continued","16","16","0","0.00%","15"
"Lyon","2017-09-09","continued","258","269","-11","-4.09%","263"
"Mineral","2017-09-09","continued","14","25","-11","-44.00%","20"
"Nye","2017-09-09","continued","217","224","-7","-3.12%","221"
"Pershing","2017-09-09","continued","18","16","2","12.50%","17"
"Storey","2017-09-09","continued","5","4","1","25.00%","5"
"Washoe","2017-09-09","continued","1,764","1,890","-126","-6.67%","1,870"
"White Pine","2017-09-09","continued","34","37","-3","-8.11%","37"
"Unknown","2017-09-09","continued","348","349","-1","-0.29%","343"
"Carson City","2017-09-02","initial","21","40","-19","-47.50%","33"
"Churchill","2017-09-02","initial","10","16","-6","-37.50%","15"
"Clark","2017-09-02","initial","2,262","2,274","-12","-0.53%","2,170"
"Douglas","2017-09-02","initial","23","10","13","130.00%","14"
"Elko","2017-09-02","initial","37","34","3","8.82%","43"
"Esmeralda","2017-09-02","initial","0","0","0","","0"
"Eureka","2017-09-02","initial","1","1","0","0.00%","1"
"Humboldt","2017-09-02","initial","2","6","-4","-66.67%","6"
"Lander","2017-09-02","initial","6","1","5","500.00%","2"
"Lincoln","2017-09-02","initial","2","2","0","0.00%","2"
"Lyon","2017-09-02","initial","46","40","6","15.00%","41"
"Mineral","2017-09-02","initial","3","1","2","200.00%","3"
"Nye","2017-09-02","initial","27","30","-3","-10.00%","27"
"Pershing","2017-09-02","initial","3","2","1","50.00%","3"
"Storey","2017-09-02","initial","1","0","1","Inf","1"
"Washoe","2017-09-02","initial","265","275","-10","-3.64%","272"
"White Pine","2017-09-02","initial","1","3","-2","-66.67%","3"
"Unknown","2017-09-02","initial","107","125","-18","-14.40%","110"
"Carson City","2017-09-02","continued","211","211","0","0.00%","216"
"Churchill","2017-09-02","continued","84","88","-4","-4.55%","79"
"Clark","2017-09-02","continued","15,780","15,762","18","0.11%","16,082"
"Douglas","2017-09-02","continued","126","135","-9","-6.67%","137"
"Elko","2017-09-02","continued","186","162","24","14.81%","161"
"Esmeralda","2017-09-02","continued","7","8","-1","-12.50%","7"
"Eureka","2017-09-02","continued","3","5","-2","-40.00%","3"
"Humboldt","2017-09-02","continued","61","67","-6","-8.96%","66"
"Lander","2017-09-02","continued","16","15","1","6.67%","16"
"Lincoln","2017-09-02","continued","16","18","-2","-11.11%","14"
"Lyon","2017-09-02","continued","269","260","9","3.46%","267"
"Mineral","2017-09-02","continued","25","22","3","13.64%","22"
"Nye","2017-09-02","continued","224","229","-5","-2.18%","225"
"Pershing","2017-09-02","continued","16","19","-3","-15.79%","16"
"Storey","2017-09-02","continued","4","5","-1","-20.00%","5"
"Washoe","2017-09-02","continued","1,890","1,903","-13","-0.68%","1,900"
"White Pine","2017-09-02","continued","37","39","-2","-5.13%","37"
"Unknown","2017-09-02","continued","349","333","16","4.80%","346"
"Carson City","2017-08-26","initial","40","34","6","17.65%","37"
"Churchill","2017-08-26","initial","16","13","3","23.08%","16"
"Clark","2017-08-26","initial","2,274","2,092","182","8.70%","2,209"
"Douglas","2017-08-26","initial","10","11","-1","-9.09%","13"
"Elko","2017-08-26","initial","34","71","-37","-52.11%","37"
"Esmeralda","2017-08-26","initial","0","2","-2","-100.00%","0"
"Eureka","2017-08-26","initial","1","2","-1","-50.00%","1"
"Humboldt","2017-08-26","initial","6","7","-1","-14.29%","7"
"Lander","2017-08-26","initial","1","1","0","0.00%","2"
"Lincoln","2017-08-26","initial","2","1","1","100.00%","2"
"Lyon","2017-08-26","initial","40","37","3","8.11%","40"
"Mineral","2017-08-26","initial","1","6","-5","-83.33%","3"
"Nye","2017-08-26","initial","30","25","5","20.00%","29"
"Pershing","2017-08-26","initial","2","4","-2","-50.00%","4"
"Storey","2017-08-26","initial","0","1","-1","-100.00%","1"
"Washoe","2017-08-26","initial","275","270","5","1.85%","278"
"White Pine","2017-08-26","initial","3","5","-2","-40.00%","4"
"Unknown","2017-08-26","initial","125","111","14","12.61%","108"
"Carson City","2017-08-26","continued","211","218","-7","-3.21%","223"
"Churchill","2017-08-26","continued","88","80","8","10.00%","75"
"Clark","2017-08-26","continued","15,762","16,070","-308","-1.92%","16,255"
"Douglas","2017-08-26","continued","135","138","-3","-2.17%","143"
"Elko","2017-08-26","continued","162","149","13","8.72%","158"
"Esmeralda","2017-08-26","continued","8","6","2","33.33%","6"
"Eureka","2017-08-26","continued","5","1","4","400.00%","2"
"Humboldt","2017-08-26","continued","67","71","-4","-5.63%","70"
"Lander","2017-08-26","continued","15","18","-3","-16.67%","18"
"Lincoln","2017-08-26","continued","18","11","7","63.64%","13"
"Lyon","2017-08-26","continued","260","264","-4","-1.52%","267"
"Mineral","2017-08-26","continued","22","21","1","4.76%","21"
"Nye","2017-08-26","continued","229","215","14","6.51%","225"
"Pershing","2017-08-26","continued","19","16","3","18.75%","16"
"Storey","2017-08-26","continued","5","7","-2","-28.57%","4"
"Washoe","2017-08-26","continued","1,903","1,923","-20","-1.04%","1,905"
"White Pine","2017-08-26","continued","39","37","2","5.41%","36"
"Unknown","2017-08-26","continued","333","342","-9","-2.63%","345"
"Carson City","2017-08-19","initial","34","36","-2","-5.56%","36"
"Churchill","2017-08-19","initial","13","20","-7","-35.00%","15"
"Clark","2017-08-19","initial","2,092","2,054","38","1.85%","2,164"
"Douglas","2017-08-19","initial","11","14","-3","-21.43%","15"
"Elko","2017-08-19","initial","71","30","41","136.67%","34"
"Esmeralda","2017-08-19","initial","2","0","2","Inf","1"
"Eureka","2017-08-19","initial","2","1","1","100.00%","1"
"Humboldt","2017-08-19","initial","7","11","-4","-36.36%","8"
"Lander","2017-08-19","initial","1","1","0","0.00%","2"
"Lincoln","2017-08-19","initial","1","1","0","0.00%","2"
"Lyon","2017-08-19","initial","37","41","-4","-9.76%","39"
"Mineral","2017-08-19","initial","6","1","5","500.00%","3"
