state_name,state_fips,state_abbrev,county_name,county_fips,year,month,unemployed,unemployment_rate
South Dakota,46,SD,Hyde,46069,2019,12,26,3.80%
South Dakota,46,SD,Jackson,46071,2019,12,77,6.30%
South Dakota,46,SD,Jerauld,46073,2019,12,29,2.60%
South Dakota,46,SD,Jones,46075,2019,12,19,3.60%
South Dakota,46,SD,Kingsbury,46077,2019,12,77,2.90%
South Dakota,46,SD,Lake,46079,2019,12,243,3.60%
South Dakota,46,SD,Lawrence,46081,2019,12,455,3.40%
South Dakota,46,SD,Lincoln,46083,2019,12,937,2.70%
South Dakota,46,SD,Lyman,46085,2019,12,79,4.70%
South Dakota,46,SD,McCook,46087,2019,12,108,4.50%
South Dakota,46,SD,McPherson,46089,2019,12,97,3.10%
South Dakota,46,SD,Marshall,46091,2019,12,52,5.00%
South Dakota,46,SD,Meade,46093,2019,12,506,3.60%
South Dakota,46,SD,Mellette,46095,2019,12,47,6.30%
South Dakota,46,SD,Miner,46097,2019,12,44,3.70%
South Dakota,46,SD,Minnehaha,46099,2019,12,"3,542",3.10%
South Dakota,46,SD,Moody,46101,2019,12,132,3.30%
South Dakota,46,SD,Pennington,46103,2019,12,358,10.00%
South Dakota,46,SD,Perkins,46105,2019,12,"2,049",3.70%
South Dakota,46,SD,Potter,46107,2019,12,48,3.40%
South Dakota,46,SD,Roberts,46109,2019,12,37,3.50%
South Dakota,46,SD,Sanborn,46111,2019,12,248,5.10%
South Dakota,46,SD,Shannon,46113,2019,12,42,3.60%
South Dakota,46,SD,Spink,46115,2019,12,116,3.60%
South Dakota,46,SD,Stanley,46117,2019,12,53,2.90%
South Dakota,46,SD,Sully,46119,2019,12,21,2.60%
South Dakota,46,SD,Todd,46121,2019,12,211,6.70%
South Dakota,46,SD,Tripp,46123,2019,12,95,3.10%
South Dakota,46,SD,Turner,46125,2019,12,147,3.10%
South Dakota,46,SD,Union,46127,2019,12,322,3.80%
South Dakota,46,SD,Walworth,46129,2019,12,114,5.40%
South Dakota,46,SD,Yankton,46135,2019,12,382,3.20%
South Dakota,46,SD,Ziebach,46137,2019,12,50,5.30%
South Dakota,46,SD,Aurora,46003,2019,11,42,2.80%
South Dakota,46,SD,Beadle,46005,2019,11,299,3.10%
South Dakota,46,SD,Bennett,46007,2019,11,64,5.80%
South Dakota,46,SD,Bon Homme,46009,2019,11,98,3.40%
South Dakota,46,SD,Brookings,46011,2019,11,699,3.50%
South Dakota,46,SD,Brown,46013,2019,11,635,3.00%
South Dakota,46,SD,Brule,46015,2019,11,73,3.00%
South Dakota,46,SD,Buffalo,46017,2019,11,58,8.50%
South Dakota,46,SD,Butte,46019,2019,11,182,3.60%
South Dakota,46,SD,Campbell,46021,2019,11,27,3.50%
South Dakota,46,SD,Charles Mix,46023,2019,11,156,4.20%
South Dakota,46,SD,Clark,46025,2019,11,62,3.30%
