weekEnding,county,claims
12/4/2010,DALLAS,29
12/4/2010,DAVIESS,7
12/4/2010,DEKALB,25
12/4/2010,DENT,29
12/4/2010,DOUGLAS,20
12/4/2010,DUNKLIN,67
12/4/2010,FRANKLIN,341
12/4/2010,GASCONADE,48
12/4/2010,GENTRY,6
12/4/2010,GREENE,440
12/4/2010,GRUNDY,12
12/4/2010,HARRISON,9
12/4/2010,HENRY,36
12/4/2010,HICKORY,18
12/4/2010,HOLT,8
12/4/2010,HOWARD,40
12/4/2010,HOWELL,117
12/4/2010,IRON,26
12/4/2010,JACKSON,1102
12/4/2010,JASPER,141
12/4/2010,JEFFERSON,544
12/4/2010,JOHNSON,72
12/4/2010,KNOX,16
12/4/2010,LACLEDE,117
12/4/2010,LAFAYETTE,61
12/4/2010,LAWRENCE,52
12/4/2010,LEWIS,12
12/4/2010,LINCOLN,197
12/4/2010,LINN,28
12/4/2010,LIVINGSTON,30
12/4/2010,MACON,48
12/4/2010,MADISON,32
12/4/2010,MARIES,13
12/4/2010,MARION,44
12/4/2010,MCDONALD,97
12/4/2010,MERCER,2
12/4/2010,MILLER,104
12/4/2010,MISSISSIPPI,52
12/4/2010,MONITEAU,36
12/4/2010,MONROE,16
12/4/2010,MONTGOMERY,40
12/4/2010,MORGAN,58
12/4/2010,NEW MADRID,29
12/4/2010,NEWTON,61
12/4/2010,NODAWAY,29
12/4/2010,OREGON,8
12/4/2010,OSAGE,23
12/4/2010,OZARK,17
12/4/2010,PEMISCOT,24
12/4/2010,PERRY,23
12/4/2010,PETTIS,82
12/4/2010,PHELPS,77
12/4/2010,PIKE,142
12/4/2010,PLATTE,97
12/4/2010,POLK,49
12/4/2010,PULASKI,59
12/4/2010,PUTNAM,5
12/4/2010,RALLS,17
12/4/2010,RANDOLPH,53
12/4/2010,RAY,34
12/4/2010,REYNOLDS,4
12/4/2010,RIPLEY,25
12/4/2010,SALINE,46
12/4/2010,SCHUYLER,7
12/4/2010,SCOTLAND,5
12/4/2010,SCOTT,108
12/4/2010,SHANNON,14
12/4/2010,SHELBY,11
12/4/2010,ST. CHARLES,575
12/4/2010,ST. CLAIR,18
12/4/2010,ST. FRANCOIS,179
12/4/2010,ST. LOUIS,1703
12/4/2010,ST. LOUIS CITY,600
12/4/2010,STE. GENEVIEVE,52
12/4/2010,STODDARD,85
12/4/2010,STONE,157
12/4/2010,SULLIVAN,11
12/4/2010,TANEY,219
12/4/2010,TEXAS,32
12/4/2010,VERNON,18
12/4/2010,WARREN,101
12/4/2010,WASHINGTON,79
12/4/2010,WAYNE,34
12/4/2010,WEBSTER,68
12/4/2010,WORTH,1
12/4/2010,WRIGHT,19
6/5/2010,ADAIR,30
6/5/2010,ANDREW,30
6/5/2010,ATCHISON,3
6/5/2010,AUDRAIN,32
6/5/2010,BARRY,33
6/5/2010,BARTON,11
6/5/2010,BATES,19
6/5/2010,BENTON,25
6/5/2010,BOLLINGER,12
6/5/2010,BOONE,124
6/5/2010,BUCHANAN,119
6/5/2010,BUTLER,55
6/5/2010,CALDWELL,9
6/5/2010,CALLAWAY,59
6/5/2010,CAMDEN,47
6/5/2010,CAPE GIRARDEAU,70
6/5/2010,CARROLL,6
6/5/2010,CARTER,12
6/5/2010,CASS,198
6/5/2010,CEDAR,12
6/5/2010,CHARITON,9
6/5/2010,CHRISTIAN,90
6/5/2010,CLARK,9
6/5/2010,CLAY,283
6/5/2010,CLINTON,36
6/5/2010,COLE,93
6/5/2010,COOPER,20
6/5/2010,CRAWFORD,42
6/5/2010,DADE,6
6/5/2010,DALLAS,31
6/5/2010,DAVIESS,2
6/5/2010,DEKALB,17
6/5/2010,DENT,19
6/5/2010,DOUGLAS,12
6/5/2010,DUNKLIN,35
6/5/2010,FRANKLIN,271
6/5/2010,GASCONADE,23
6/5/2010,GENTRY,4
6/5/2010,GREENE,281
6/5/2010,GRUNDY,8
6/5/2010,HARRISON,10
6/5/2010,HENRY,30
6/5/2010,HICKORY,17
6/5/2010,HOLT,3
6/5/2010,HOWARD,7
6/5/2010,HOWELL,121
6/5/2010,IRON,19
6/5/2010,JACKSON,929
6/5/2010,JASPER,203
6/5/2010,JEFFERSON,455
6/5/2010,JOHNSON,62
6/5/2010,KNOX,9
6/5/2010,LACLEDE,69
6/5/2010,LAFAYETTE,70
6/5/2010,LAWRENCE,40
6/5/2010,LEWIS,3
6/5/2010,LINCOLN,84
6/5/2010,LINN,18
6/5/2010,LIVINGSTON,11
6/5/2010,MACON,16
6/5/2010,MADISON,17
6/5/2010,MARIES,8
6/5/2010,MARION,36
6/5/2010,MCDONALD,100
6/5/2010,MERCER,4
6/5/2010,MILLER,35
6/5/2010,MISSISSIPPI,33
6/5/2010,MONITEAU,29
6/5/2010,MONROE,12
6/5/2010,MONTGOMERY,24
6/5/2010,MORGAN,18
6/5/2010,NEW MADRID,24
6/5/2010,NEWTON,102
6/5/2010,NODAWAY,36
6/5/2010,OREGON,6
6/5/2010,OSAGE,18
6/5/2010,OZARK,4
6/5/2010,PEMISCOT,24
6/5/2010,PERRY,27
6/5/2010,PETTIS,89
6/5/2010,PHELPS,58
6/5/2010,PIKE,99
6/5/2010,PLATTE,133
6/5/2010,POLK,56
6/5/2010,PULASKI,20
6/5/2010,PUTNAM,5
6/5/2010,RALLS,8
6/5/2010,RANDOLPH,44
6/5/2010,RAY,47
6/5/2010,REYNOLDS,8
6/5/2010,RIPLEY,19
6/5/2010,SALINE,40
6/5/2010,SCHUYLER,9
6/5/2010,SCOTLAND,1
6/5/2010,SCOTT,47
6/5/2010,SHANNON,12
6/5/2010,SHELBY,10
6/5/2010,ST. CHARLES,526
6/5/2010,ST. CLAIR,11
6/5/2010,ST. FRANCOIS,96
6/5/2010,ST. LOUIS,1686
6/5/2010,ST. LOUIS CITY,600
6/5/2010,STE. GENEVIEVE,50
6/5/2010,STODDARD,35
6/5/2010,STONE,81
6/5/2010,SULLIVAN,6
6/5/2010,TANEY,74
6/5/2010,TEXAS,25
6/5/2010,VERNON,19
6/5/2010,WARREN,63
6/5/2010,WASHINGTON,39
6/5/2010,WAYNE,12
6/5/2010,WEBSTER,41
6/5/2010,WORTH,1
6/5/2010,WRIGHT,18
11/6/2010,ADAIR,18
11/6/2010,ANDREW,22
11/6/2010,ATCHISON,4
11/6/2010,AUDRAIN,37
11/6/2010,BARRY,66
11/6/2010,BARTON,19
11/6/2010,BATES,27
11/6/2010,BENTON,22
11/6/2010,BOLLINGER,15
11/6/2010,BOONE,156
11/6/2010,BUCHANAN,150
11/6/2010,BUTLER,61
11/6/2010,CALDWELL,15
11/6/2010,CALLAWAY,46
11/6/2010,CAMDEN,137
11/6/2010,CAPE GIRARDEAU,63
11/6/2010,CARROLL,10
11/6/2010,CARTER,9
11/6/2010,CASS,114
11/6/2010,CEDAR,17
11/6/2010,CHARITON,9
11/6/2010,CHRISTIAN,113
11/6/2010,CLARK,6
11/6/2010,CLAY,246
11/6/2010,CLINTON,29
11/6/2010,COLE,68
11/6/2010,COOPER,24
11/6/2010,CRAWFORD,47
